date,open,high,low,close,volume
2020-12-01 15:18:00+05:30,1135.25,1137.95,1135.2,1137.7,126165
2020-12-01 15:19:00+05:30,1137.7,1139.15,1137.6,1138.95,70477
2020-12-01 15:20:00+05:30,1139,1139,1137.95,1138.3,117331
2020-12-01 15:21:00+05:30,1138.95,1140,1137.95,1138,146705
2020-12-01 15:22:00+05:30,1137.95,1138,1137.35,1137.6,49353
2020-12-01 15:23:00+05:30,1137.6,1138.9,1137.6,1138.4,81064
2020-12-01 15:24:00+05:30,1138.35,1138.4,1138.2,1138.3,37792
2020-12-01 15:25:00+05:30,1138.3,1138.4,1138.3,1138.35,36866
2020-12-01 15:26:00+05:30,1138.35,1139.2,1138.3,1139.05,64332
2020-12-01 15:27:00+05:30,1139.1,1139.3,1138,1138,45140
2020-12-01 15:28:00+05:30,1137.85,1137.95,1136.5,1137.3,20310
2020-12-01 15:29:00+05:30,1137.15,1137.45,1136.15,1137,17086
2020-12-02 09:15:00+05:30,1134,1134,1127.55,1131.4,160103
2020-12-02 09:16:00+05:30,1131.05,1132.25,1128.5,1129.9,113837
2020-12-02 09:17:00+05:30,1129.2,1132.8,1129.2,1131.6,56478
2020-12-02 09:18:00+05:30,1131.6,1131.9,1129.15,1130.5,36930
2020-12-02 09:19:00+05:30,1130.5,1132,1129.5,1129.75,30611
2020-12-02 09:20:00+05:30,1130,1134,1130,1133.85,45504
2020-12-02 09:21:00+05:30,1133.45,1135.5,1133,1133.65,44956
2020-12-02 09:22:00+05:30,1133.65,1133.8,1131.05,1131.1,28073
2020-12-02 09:23:00+05:30,1131.4,1133,1131.05,1132,29676
2020-12-02 09:24:00+05:30,1132,1132.7,1131.25,1131.4,16873
2020-12-02 09:25:00+05:30,1131.1,1131.65,1129.95,1131.35,36026
2020-12-02 09:26:00+05:30,1131.35,1133,1131.1,1131.15,17162
2020-12-02 09:27:00+05:30,1131.4,1132.15,1131.15,1131.7,11191
2020-12-02 09:28:00+05:30,1131.7,1131.7,1130.1,1130.5,14821
2020-12-02 09:29:00+05:30,1130.35,1130.5,1126.2,1126.9,70343
2020-12-02 09:30:00+05:30,1127,1129.05,1126.9,1127.5,35654
2020-12-02 09:31:00+05:30,1127.8,1129.3,1127.5,1128.7,13624
2020-12-02 09:32:00+05:30,1128.2,1129.45,1126.35,1126.9,47013
2020-12-02 09:33:00+05:30,1127,1128.1,1126.1,1128.1,27634
2020-12-02 09:34:00+05:30,1128,1128.6,1127,1127.2,19510
2020-12-02 09:35:00+05:30,1127.2,1127.55,1125.6,1125.6,30921
2020-12-02 09:36:00+05:30,1125.9,1126.5,1125.6,1126.5,26850
2020-12-02 09:37:00+05:30,1126.5,1127,1126,1127,13977
2020-12-02 09:38:00+05:30,1127,1128.45,1126.7,1128.3,13639
2020-12-02 09:39:00+05:30,1128.45,1129,1126.5,1127.4,27300
2020-12-02 09:40:00+05:30,1127.4,1127.7,1127,1127.5,9469
2020-12-02 09:41:00+05:30,1127.5,1127.6,1127,1127.25,9553
2020-12-02 09:42:00+05:30,1127.25,1127.25,1126.5,1126.7,15545
2020-12-02 09:43:00+05:30,1126.3,1128,1126.3,1127.85,9023
2020-12-02 09:44:00+05:30,1127.6,1127.9,1126.7,1127.5,7683
2020-12-02 09:45:00+05:30,1127.55,1127.8,1126.1,1126.25,7749
2020-12-02 09:46:00+05:30,1126.25,1126.25,1124.4,1125.2,56325
2020-12-02 09:47:00+05:30,1125.45,1125.8,1125,1125.05,12602
2020-12-02 09:48:00+05:30,1125,1125.8,1125,1125.65,8887
2020-12-02 09:49:00+05:30,1125.65,1125.65,1124.45,1125.5,24790
2020-12-02 09:50:00+05:30,1126.3,1126.6,1125.3,1125.7,10135
2020-12-02 09:51:00+05:30,1125.7,1125.8,1125,1125.35,7934
2020-12-02 09:52:00+05:30,1125.5,1127.5,1125.3,1127.35,26813
2020-12-02 09:53:00+05:30,1127.3,1127.5,1126,1126.6,9491
2020-12-02 09:54:00+05:30,1126.6,1127,1126.5,1126.95,4817
2020-12-02 09:55:00+05:30,1127.5,1127.6,1125.5,1126.05,13687
2020-12-02 09:56:00+05:30,1126.05,1126.05,1125.1,1125.55,10288
2020-12-02 09:57:00+05:30,1125.55,1125.65,1123.6,1124,44659
2020-12-02 09:58:00+05:30,1124,1125.8,1124,1125.75,9529
2020-12-02 09:59:00+05:30,1125.7,1125.7,1125,1125,6003
2020-12-02 10:00:00+05:30,1125,1125.3,1124.3,1124.5,6010
2020-12-02 10:01:00+05:30,1124.75,1125.2,1124.45,1124.95,7775
2020-12-02 10:02:00+05:30,1124.95,1124.95,1124,1124.1,12790
2020-12-02 10:03:00+05:30,1124.55,1124.8,1124,1124.2,7614
2020-12-02 10:04:00+05:30,1124.05,1124.3,1123.5,1123.55,11949
2020-12-02 10:05:00+05:30,1123.55,1123.75,1122.2,1122.5,32352
2020-12-02 10:06:00+05:30,1122.45,1122.7,1122,1122.05,30325
2020-12-02 10:07:00+05:30,1122.1,1122.85,1121,1122.85,34947
2020-12-02 10:08:00+05:30,1122.2,1123.75,1122.2,1123.5,12973
2020-12-02 10:09:00+05:30,1123.6,1124.75,1123.5,1124.1,12283
2020-12-02 10:10:00+05:30,1124.05,1124.55,1123.6,1123.65,10730
2020-12-02 10:11:00+05:30,1123.5,1123.55,1123,1123.2,3194
2020-12-02 10:12:00+05:30,1123.3,1124.2,1123.15,1124.1,8496
2020-12-02 10:13:00+05:30,1124.1,1124.9,1124,1124.55,11783
2020-12-02 10:14:00+05:30,1124.55,1124.55,1124,1124.5,4926
2020-12-02 10:15:00+05:30,1124.5,1124.5,1123.9,1123.9,7759
2020-12-02 10:16:00+05:30,1124.05,1124.05,1123,1123.15,14208
2020-12-02 10:17:00+05:30,1123.3,1123.75,1123.05,1123.45,7903
2020-12-02 10:18:00+05:30,1123.55,1124.5,1123.3,1124.15,4285
2020-12-02 10:19:00+05:30,1124.4,1125,1124,1124.5,5702
2020-12-02 10:20:00+05:30,1124.5,1124.6,1123.8,1124.25,20289
2020-12-02 10:21:00+05:30,1124.05,1124.25,1123.5,1123.85,7929
2020-12-02 10:22:00+05:30,1123.95,1124.5,1123.8,1124.25,6298
2020-12-02 10:23:00+05:30,1124.25,1124.5,1124,1124.45,4232
2020-12-02 10:24:00+05:30,1124.45,1125.95,1124.15,1125.65,12612
2020-12-02 10:25:00+05:30,1125.65,1125.65,1124.55,1124.75,9395
2020-12-02 10:26:00+05:30,1124.75,1125.65,1124.6,1125.25,8094
2020-12-02 10:27:00+05:30,1125.5,1126.7,1125.3,1126.45,14368
2020-12-02 10:28:00+05:30,1126.45,1126.45,1125.5,1126,8455
2020-12-02 10:29:00+05:30,1126,1126.3,1125.5,1126.05,7436
2020-12-02 10:30:00+05:30,1125.65,1126.3,1125.5,1126.25,4989
2020-12-02 10:31:00+05:30,1126.2,1127.5,1125.1,1126.8,27135
2020-12-02 10:32:00+05:30,1126.5,1126.75,1125.3,1125.6,18470
