Ticker,Name,Exchange,Category Name,Country
RFXXII29GR-MF.NS,RELIANCE CAPITAL A FHF XXI SER,NSI,,India
XCHANGING-EQ.NS,XCHANGING SOLUTIONS LIMITED,NSI,,India
XCHANGING.NS,Xchanging Solutions Limited,NSI,Information Technology Services,India
UFTFGR12PX-MF.NS,UTI MUTUAL FUND FTI XII-X 1096D,NSI,,India
XLENERGY.NS,XL Energy Limited,NSI,Diversified Utilities,India
YESBANK-EQ.NS,YES BANK LIMITED,NSI,,India
WINSOME-BE.NS,WINSOME YARNS LTD INR10,NSI,,India
WINSOME.NS,Winsome Yarns Limited,NSI,Textile Industrial,India
ZYLOG.NS,Zylog Systems Limited,NSI,Technical & System Software,India
ZENSARTEC.NS,Zensar Technologies Limited,NSI,,India
HINDZINC.NS,Hindustan Zinc Limited,NSI,Industrial Metals & Minerals,India
ZANDUREALT.NS,Zandu Realty Limited,NSI,Real Estate Development,India
ZENITHEXPO.NS,Zenith Exports Limited,NSI,Textile Industrial,India
ZENITHEXPO-EQ.NS,ZENITH EXPORTS LTD INR10,NSI,,India
ZEELEARN-EQ.NS,ZEE LEARN LIMITED,NSI,,India
ZEEL-P1.NS,ZEE ENTERTAIN ENT 6% CUM RED NO,NSI,,India
TBZ.NS,Tribhovandas Bhimji Zaveri Limited,NSI,Jewelry Stores,India
ZEEL.NS,Zee Entertainment Enterprises Limited,NSI,Broadcasting - TV,India
ZUARIGLOB.NS,Zuari Global Limited,NSI,Agricultural Chemicals,India
ZICOM-EQ.NS,ZICOM ELECTRONIC SECURITY SYSTE,NSI,,India
ZENITHCOMP.NS,Zenith Computers Limited,NSI,,India
ZEEMEDIA.NS,Zee Media Corporation Limited,NSI,Broadcasting - TV,India
ZANDUREALT-EQ.NS,ZANDU REALTY LIMITED,NSI,,India
ZUARI.NS,Zuari Agro Chemicals Limited,NSI,Agricultural Chemicals,India
ZEELEARN.NS,Zee Learn Limited,NSI,Education & Training Services,India
ZENTEC.NS,Zen Technologies Limited,NSI,Education & Training Services,India
ZENTEC-BE.NS,Zen Technologies Limited,NSI,,India
ZENTEC-EQ.NS,ZEN TECHNOLOGIES INR1,NSI,,India
ZENITHBIR-EQ.NS,ZENITH BIRLA(INDIA INR10,NSI,,India
ZODIACLOTH-EQ.NS,ZODIAC CLOTHING COMPANY LIMITED,NSI,,India
ZENSARTECH.NS,Zensar Technologies Limited,NSI,Information Technology Services,India
HINDZINC-EQ.NS,HINDUSTAN ZINC LIMITED,NSI,,India
ZODIACLOTH.NS,Zodiac Clothing Company Limited,NSI,Textile - Apparel Clothing,India
ZYDUSWELL-EQ.NS,ZYDUS WELLNESS LIMITED,NSI,,India
ZICOM.NS,Zicom Electronic Security Systems Limited,NSI,Security & Protection Services,India
AARVEEDEN.NS,Aarvee Denims and Exports Limited,NSI,Textile Industrial,India
AARTIDRUGS-EQ.NS,AARTI DRUGS LTD INR10,NSI,,India
AARTIIND-EQ.NS,AARTI INDUSTRIES LIMITED,NSI,,India
AARTIIND.NS,Aarti Industries Limited,NSI,Specialty Chemicals,India
AARTIDRUGS.NS,Aarti Drugs Limited,NSI,Drug Manufacturers - Major,India
ABB.NS,ABB India Limited,NSI,Diversified Machinery,India
ABCIL.NS,Aditya Birla Chemicals (India) Limited,NSI,,India
STYABS.NS,INEOS STYROLUTION INR10,NSI,,India
ABFRL.NS,Aditya Birla Fashion and Retail Limited,NSI,Textile - Apparel Clothing,India
ABGSHIP.NS,ABG Shipyard Limited,NSI,Aerospace/Defense - Major Diversified,India
ABHISHEK.NS,Abhishek Corporation Ltd,NSI,,India
ABIRLANUVO-EQ.NS,ADITYA BIRLA NUVO LIMITED,NSI,,India
ORIENTABRA.NS,Orient Abrasives Limited,NSI,Specialty Chemicals,India
ORIENTABRA-EQ.NS,ORIENT ABRASIVES INR1 (POST SUB,NSI,,India
ABIRLANUVO.NS,Aditya Birla Nuvo Limited,NSI,Conglomerates,India
ABBOTINDIA.NS,Abbott India Limited,NSI,Drug Manufacturers - Major,India
ABCIL-EQ.NS,ADITYA BIRLA CHEMICALS (INDIA),NSI,,India
IMPAL.NS,India Motor Parts and Accessories Limited,NSI,Auto Parts,India
ACROPETAL-BE.NS,ACROPETAL TECHNOLO INR10,NSI,,India
ACCELYA.NS,Accelya Kale Solutions Limited,NSI,Information Technology Services,India
AFL-EQ.NS,ACCEL FRONTLINE LIMITED,NSI,,India
AFL.NS,Accel Frontline Limited,NSI,Information Technology Services,India
ACE.NS,Action Construction Equipment Limited,NSI,Farm & Construction Machinery,India
ACCELYA-EQ.NS,ACCELYA KALE SOLUT INR10,NSI,,India
ACROPETAL.NS,Acropetal Technologies Limited,NSI,Information Technology Services,India
TREEHOUSE.NS,Tree House Education & Accessories Limited,NSI,Education & Training Services,India
ACC.NS,ACC Limited,NSI,General Building Materials,India
ACROPETAL-EQ.NS,ACROPETAL TECHNOLOGIES LIMITED,NSI,,India
VARDHACRLC-EQ.NS,VARDHMAN ACRYLICS INR10,NSI,,India
VARDHACRLC.NS,Vardhman Acrylics Limited,NSI,Textile Industrial,India
AMTL.NS,Advance Metering Technology Limited,NSI,Electric Utilities,India
ADVANTA.NS,Advanta Limited,NSI,,India
ADSL.NS,Allied Digital Services Ltd,NSI,Information Technology Services,India
ADHUNIK.NS,Adhunik Metaliks Limited,NSI,Steel & Iron,India
ADANITRANS.NS,Adani Transmissions Limited,NSI,Electric Utilities,India
ADANIENT.NS,Adani Enterprises Limited,NSI,Industrial Metals & Minerals,India
